SchoolID,SchoolName,Language,Gender 
101,Babajipura G.M.M.Kumar shala No. 1,Gujarati,Kumar
103,Babajipura Kanya Shala No. 3,Gujarati,Kanya
107,Babajipura Mishra Shala No. 7,Gujarati,Mishra
108,Babajipura Mishra Shala No. 8,Gujarati,Mishra
112,Babajipura Marathi Mishra Shala No. 12,Marathi,Mishra
113,Babajipura Kanya Shala No. 13,Gujarati,Kanya
114,Babajipura Mishra Shala No. 14,Gujarati,Mishra
117,Babajipura Kumar Shala No. 17,Gujarati,Kumar
118,Babajipura Mishra Shala No. 18,Gujarati,Mishra
119,Babajipura Mishra Shala No. 19,Gujarati,Mishra
120,Babajipura Mishra Shala No. 20,Gujarati,Mishra
121,Babajipura Mishra Shala No. 21,Gujarati,Mishra
125,Babajipura Kumar Shala No. 25,Gujarati,Kumar
126,Babajipura Kanya Shala No. 26,Gujarati,Kanya
127,Babajipura Mishra Shala No. 27,Gujarati,Mishra
128,Babajipura Mishra Shala No. 28,Gujarati,Mishra
130,Babajipura Hindi Mishra Shala No. 30,Hindi,Mishra
131,Babajipura Mishra Shala No. 31,Gujarati,Mishra
132,Babajipura Mishra Shala No. 32,Gujarati,Mishra
201,Fatehpura Kumar Shala No. 1,Gujarati,Kumar
202,Fatehpura Mishra Shala No. 2,Gujarati,Mishra
209,Fatehpura Mishra Shala No. 9,Gujarati,Mishra
210,Fatehpura Kanya Shala No. 10,Gujarati,Kanya
211,Fatehpura Mishra Shala No. 11,Gujarati,Mishra
213,Fatehpura Kumar Shala No. 13,Gujarati,Kumar
215,Fatehpura Hindi Mishra Shala No. 15,Hindi,Mishra
216,Fatehpura Mishra Shala No. 16,Gujarati,Mishra
218,Fatehpura Mishra Shala No. 18,Gujarati,Mishra
219,Fatehpura Mishra Shala No. 19,Gujarati,Mishra
301,N. Sayajiganj Mishra Shala No. 1 (center),Gujarati,Mishra
303,N. Sayajiganj Marathi Mishra Shala No. 3,Marathi,Mishra
305,Sayajiganj Mishra Shala No. 5,Gujarati,Mishra
306,Sayajiganj Kumar Shala No. 6,Gujarati,Kumar
307,Sayajiganj Mishra Shala No. 7,Gujarati,Mishra
308,Sayajiganj Kumar Shala No. 8,Gujarati,Kumar
309,Sayajiganj Mishra Shala No. 9,Gujarati,Mishra
310,Sayajiganj Kumar Shala No. 10,Gujarati,Kumar
311,Sayajiganj Mishra Shala No. 11,Gujarati,Mishra
312,Sayajiganj Mishra Shala No. 12,Gujarati,Mishra
313,Sayajiganj Mishra Shala No. 13,Gujarati,Mishra
314,Sayajiganj Kumar Shala No. 14,Gujarati,Kumar
315,Sayajiganj Hindi Mishra Shala No. 15,Hindi,Mishra
316,Sayajiganj Kanya Shala No. 16,Gujarati,Kanya
317,Sayajiganj Kanya Shala No. 17,Gujarati,Kanya
318,Sayajiganj Kumar shala No. 18,Gujarati,Kumar
320,Sayajiganj Mishra Shala No. 20,Gujarati,Mishra
321,Sayajiganj Kumar shala No. 21,Gujarati,Kumar
322,Sayajiganj Mishra Shala No. 22,Gujarati,Mishra
323,Sayajiganj Mishra Shala No. 23,Gujarati,Mishra
324,Sayajiganj Mishra Shala No. 24,Gujarati,Mishra
325,Sayajiganj Mishra Shala No. 25,Gujarati,Mishra
326,Sayajiganj Hindi Mishra Shala No. 26,Hindi,Mishra
327,Sayajiganj Marathi Mishra Shala No. 27,Marathi,Mishra
329,Sayajiganj Marathi Mishra Shala No. 29,Marathi,Mishra
331,Sayajiganj Mishra Shala No. 31,Gujarati,Mishra
332,Sayajiganj Hindi Mishra Shala No. 32,Hindi,Mishra
334,Sayajiganj Mishra Shala No. 34,Gujarati,Mishra
337,Sayajiganj Kanya Shala No. 37,Gujarati,Kanya
338,Sayajiganj Kanya Shala No. 38,Gujarati,Kanya
340,Sayajiganj Kanya Shala No. 40,Gujarati,Kanya
341,Sayajiganj Kanya Shala No. 41,Gujarati,Kanya
342,Sayajiganj Hindi Mishra Shala No. 42,Hindi,Mishra
344,Sayajiganj Mishra Shala No. 44,Gujarati,Mishra
345,Sayajiganj Mishra Shala No. 45,Gujarati,Mishra
346,Sayajiganj Hindi Mishra Shala No. 46,Hindi,Mishra
347,Sayajiganj Hindi Mishra Shala No. 47,Hindi,Mishra
348,Sayajiganj Mishra Shala No. 48,Gujarati,Mishra
349,Sayajiganj Mishra Shala No. 49,Gujarati,Mishra
